Unnamed: 0.1,Unnamed: 0,Title,Start,End,Description,Web Page,Media,Media Caption,Media Credit,Tag,Place,Location,Source,Source URL
0,0,北京市北京市通州区,12/01/2022,,视频3 北京市通州区马驹桥镇二街村11.29日封村，11.30日白天 民众要求解封,,https://video.twimg.com/ext_tw_video/1598279802687049729/pu/vid/432x960/RwpF6VXL7GTUPcIQ.mp4?tag=12,2022-12-01 11:37:00,李老师不是你李老师 twitter@whyyoutouzhele,People,北京市北京市通州区,"39.80981488385131,116.74007918067626",,https://twitter.com/whyyoutouzhele/status/1598280060397850625#m
1,1,天津市天津市南开区,12/01/2022,,"今天白天 天津市南开区 王顶堤 迎水道，
有民众堵住马路阻止在市区人口稠密的居民区建健康驿站（方舱）",,https://video.twimg.com/ext_tw_video/1598260916239335425/pu/vid/720x1272/8l49zc-BrhS51zQd.mp4?tag=12,2022-12-01 10:22:00,李老师不是你李老师 twitter@whyyoutouzhele,People,天津市天津市南开区,"39.11698728552219,117.16272794945208",,https://twitter.com/whyyoutouzhele/status/1598261221937283072#m
2,2,河北省保定市高碑店市,12/01/2022,,今天下午 河北高碑店新发地部分商户与防疫人员发生冲突 推翻带有铁丝网的防护栏 补充视频,,https://video.twimg.com/ext_tw_video/1598250838849355776/pu/vid/720x1280/H_OyfJVWwwTPrUHf.mp4?tag=12,2022-12-01 09:41:00,李老师不是你李老师 twitter@whyyoutouzhele,People,河北省保定市高碑店市,"39.26508776483182,116.04093362477256",,https://twitter.com/whyyoutouzhele/status/1598250913331757056#m
3,3,江苏省扬州市,11/30/2022,,有网友称，在扬州东关街坊间传言的江家老宅门口有人献花。,,"<iframe src=""https://archive.org/embed/izsbkMXoAAAy5u"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-30 11:14:00,李老师不是你李老师 twitter@whyyoutouzhele,People,江苏省扬州市,"32.40850525456844,119.42777755116975",,https://twitter.com/whyyoutouzhele/status/1597911983243730944#m
4,4,上海市上海市青浦区,11/30/2022,,"11/30号早
上海青浦区徐盈路地铁站附近小区因一例异常全小区封控，现场部分居民与防疫人员发生冲突",,https://video.twimg.com/ext_tw_video/1597911366697902082/pu/vid/1280x720/K3cLHD3JQpyDs7vK.mp4?tag=12,2022-11-30 11:14:00,李老师不是你李老师 twitter@whyyoutouzhele,People,上海市上海市青浦区,"31.130862397996967,121.091425242822",,https://twitter.com/whyyoutouzhele/status/1597911861735100417#m
5,5,广东省广州市海珠区,11/30/2022,,"昨晚广州海珠区后滘群体性事件的一个补充视频
在现场出现了女性防爆警察。",,https://video.twimg.com/ext_tw_video/1597760182234349568/pu/vid/720x1280/BHJRNIZZAxqKNARI.mp4?tag=12,2022-11-30 01:12:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省广州市海珠区,"23.08762922878852,113.33384126612644",,https://twitter.com/whyyoutouzhele/status/1597760441954209793#m
6,6,广东省广州市海珠区,11/29/2022,,"广州海珠区后滘 约29日晚上11点左右 发生群体事件
目前具体原因不详。",,https://video.twimg.com/ext_tw_video/1597655539021922310/pu/vid/720x1600/zcVE9rz0toU_Ggga.mp4?tag=12,2022-11-29 06:20:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省广州市海珠区,"23.08762922878852,113.33384126612644",,https://twitter.com/whyyoutouzhele/status/1597656642803273729#m
7,7,广东省深圳市,11/29/2022,,"深圳 华强北 21:40，一男子高喊“我要回家” 
随后被警方制服 视频2",,https://video.twimg.com/ext_tw_video/1597598905344135168/pu/vid/1280x720/kKYyDuMwJARZ_UWr.mp4?tag=12,2022-11-29 02:30:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省深圳市,"22.546053546205247,114.0259736573215",,https://twitter.com/whyyoutouzhele/status/1597598964790235137#m
8,8,广东省深圳市,11/29/2022,,网友投稿 深圳市民中心 约一小时前,,"<iframe src=""https://archive.org/embed/ivGg3bWIAQf5KU"" width=""640"" height=""480"" frameborder=""0"" webkitallowfullscreen=""true"" mozallowfullscreen=""true"" allowfullscreen></iframe>",2022-11-29 01:50:00,李老师不是你李老师 twitter@whyyoutouzhele,People,广东省深圳市,"22.546053546205247,114.0259736573215",,https://twitter.com/whyyoutouzhele/status/1597588818429083648#m
9,9,天津市天津市,11/29/2022,,此刻 天津方舱，因出现没做核酸的人也开始出核酸结果的问题，隔离民众与防疫人员交涉,,https://video.twimg.com/ext_tw_video/1597569471916433408/pu/vid/720x1280/XA5QEzu2Ah-bggHn.mp4?tag=12,2022-11-29 12:34:00,李老师不是你李老师 twitter@whyyoutouzhele,People,天津市天津市,"39.14392990331008,117.21081309155257",,https://twitter.com/whyyoutouzhele/status/1597569635800748033#m
