Time,Headline,Year,End Year,Text,Media,Place,Location,Location_Original,Source,Source URL
,"Damian, Peter",1007,1072,"Saint Peter Damian, O.S.B. (Petrus Damiani, also Pietro Damiani or Pier Damiani; c. 1007 – February 21/22, 1072) was a reforming monk in the circle of Pope Gregory VII and a cardinal. In 1823, he was declared a Doctor of the Church. Dante placed him in one of the highest circles of Paradiso as a great predecessor of Saint Francis of Assisi.",http://upload.wikimedia.org/wikipedia/commons/4/4e/Peter_Damian_bust.JPG,"Tuscany, Italy","43.4586541,11.1389204","43.4586541,11.1389204",Wikipedia,
,Anselm,1033,1109,"Anselm of Canterbury (c. 1033 – 21 April 1109), also called of Aosta for his birthplace, and of Bec for his home monastery, was a Benedictine monk, a philosopher, and a prelate of the Church who held the office of Archbishop of Canterbury from 1093 to 1109. Called the founder of scholasticism, he has been a major influence in Western theology and is famous as the originator of the ontological argument for the existence of God and the satisfaction theory of atonement.",http://www.iep.utm.edu/wp-content/media/anselm.jpg,"Canterbury, England","51.2800275,1.0802533","51.2800275,1.0802533",Wikipedia,
,William of Champeaux,1070,1122,"Guillaume de Champeaux (c. 1070 – 18 January 1121 in Châlons-en-Champagne), known in English as William of Champeaux and Latinised to Gulielmus de Campellis , was a French philosopher and theologian.",,"Champeaux, France","48.7385383,-1.5302823","48.7385383,-1.5302823",Wikipedia,
,Peter Abelard,1079,1142,"Peter Abelard (/ˈæb.ə.lɑːrd/; Latin: Petrus Abaelardus or Abailardus; French: Pierre Abélard, pronounced: [a.beˈlaːʁ]; 1079 – 21 April 1142) was a medieval French scholastic philosopher, theologian and preeminent logician. The story of his affair with and love for Heloise has become legendary. The Chambers Biographical Dictionary describes him as ""the keenest thinker and boldest theologian of the 12th Century"".",http://upload.wikimedia.org/wikipedia/commons/3/3c/Abelard.jpg,"Paris, France","48.8588897,2.320041022","48.8566969,2.3514616",Wikipedia,
,Robert Grosseteste,1168,1253,"Robert Grosseteste ( /ˈɡroʊstɛst/ grohs-test) or Grossetete (/ˈɡroʊsteɪt/ grohs-tayt; c. 1175 – 9 October 1253) was an English statesman, scholastic philosopher, theologian, scientist and Bishop of Lincoln. He was born of humble parents at Stradbroke in Suffolk. A.C. Crombie calls him ""the real founder of the tradition of scientific thought in medieval Oxford, and in some ways, of the modern English intellectual tradition"".",http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Bishop_Robert_Grosseteste%2C_1896_%28crop%29.jpg/220px-Bishop_Robert_Grosseteste%2C_1896_%28crop%29.jpg,"Lincoln, England","53.2336301,-0.5392172","53.2336301,-0.5392172",Wikipedia,
,Albertus Magnus,1193,1274,"Albertus Magnus, O.P. (1193/1206 – November 15, 1280), also known as Albert the Great and Albert of Cologne, is a Catholic saint. He was a German Dominican friar and a bishop who achieved fame for his comprehensive knowledge of and advocacy for the peaceful coexistence of science and religion. Those such as James A. Weisheipl and Joachim R. Söder have referred to him as the greatest German philosopher and theologian of the Middle Ages, an opinion supported by contemporaries such as Roger Bacon. The Catholic Church honours him as a Doctor of the Church, one of only 35 persons with that honor.",,"Cologne, Germany","50.938361,6.959974","50.938361,6.959974",Wikipedia,
,Adam Wodeham,1295,1358,"Born near Southampton, England in 1298, Adam of Wodeham (1298–1358) was a philosopher and theologian. Currently, Wodeham is best known for having been a student of William Ockham and for his interpretations of John Duns Scotus. Despite this associational fame, Wodeham was an influential thinker who made valuable philosophical contributions during his life.",,"Wodeham, England","51.5197497,-0.0627905","51.5197497,-0.0627905",Wikipedia,
,Adam Marsh,1200,1259,"Adam Marsh (Adam de Marisco) (c. 1200 – 18 November 1259) was an English Franciscan, scholar and theologian.",,England,"52.5310214,-1.2649062","52.5310214,-1.2649062",Wikipedia,
,William of Sherwood,1200,1265,"William of Sherwood (or Shyreswood, Shireswood) (1190–1249) was a medieval English Scholastic philosopher, logician and teacher.
Little is known of his life, but he is thought to have studied in Paris, as a master at Oxford in 1252, treasurer of Lincoln from 1254/8 onwards, and a rector of Aylesbury.
He was the author of two books which were an important influence on the development of Scholastic logic: Introductiones in Logicam (Introduction to Logic), and Syncategoremata. These are the first known works to deal in a systematic way with what is now called supposition theory, known in William's time as the logica moderna.",,"Sherwood, England","52.9812277,-1.1503521","52.9812277,-1.1503521",Wikipedia,
,Roger Bacon,1214,1294,"Roger Bacon, O.F.M. (c. 1214–1294), (scholastic accolade Doctor Mirabilis, meaning ""wonderful teacher""), was an English philosopher and Franciscan friar who placed considerable emphasis on the study of nature through empirical methods. He is sometimes credited, mainly starting in the 19th century, as one of the earliest European advocates of the modern scientific method inspired by the works of Aristotle and later Islamic works, such as the works of Muslim scientist Alhazen. However, more recent reevaluations emphasize that he was essentially a medieval thinker, with much of his ""experimental"" knowledge obtained from books, in the scholastic tradition. A survey of the reception of Bacon's work over centuries found that it often reflects the concerns and controversies central to the receivers.",http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Roger-bacon-statue.jpg/220px-Roger-bacon-statue.jpg,"London, England","51.5073219,-0.1276474","51.5073219,-0.1276474",Wikipedia,
